Synced TS,Perpendicular_A,Parallel_A,Tangential_A,TotalSquared_A,Perpendicular_B,Parallel_B,Tangential_B,TotalSquared_B,MotionMotif,xmin,xmax
1908938.9163,-0.04357795200491387,-0.022540751791073572,0.011521628172294678,0.0025398713079899777,0.0029764415639606783,-0.002913821651429629,-4.6387399878601294e-4,1.7564740086762507e-5,SoloPerpendicular,1908938.9163,1908958.706717827
1908958.706717827,-0.04357795200491387,-0.022540751791073572,0.011521628172294678,0.0025398713079899777,0.0024317952302371185,-0.0021536538622025604,-6.06529656543376e-4,1.091973122425063e-5,SoloPerpendicular,1908958.706717827,1908972.9502
1908972.9502,-0.039008537952157876,-0.053102088879205915,0.006535693101251152,0.004384213160813768,0.0024317952302371185,-0.0021536538622025604,-6.06529656543376e-4,1.091973122425063e-5,SoloPerpendicular,1908972.9502,1908993.0001178267
1908993.0001178267,-0.039008537952157876,-0.053102088879205915,0.006535693101251152,0.004384213160813768,0.00189426133316659,-8.67043396646626e-4,-4.014633634378653e-4,4.5011630821814284e-6,SoloPerpendicular,1908993.0001178267,1909005.8639
1909005.8639,-0.032211941580976323,-0.07081707129522923,0.00126384848710177,0.00605426408024816,0.00189426133316659,-8.67043396646626e-4,-4.014633634378653e-4,4.5011630821814284e-6,SoloPerpendicular,1909005.8639,1909025.7722178265
1909025.7722178265,-0.032211941580976323,-0.07081707129522923,0.00126384848710177,0.00605426408024816,0.0011664712691396998,-5.568491970631786e-4,-4.219768132902355e-4,1.848800680952871e-6,SoloPerpendicular,1909025.7722178265,1909038.8626
1909038.8626,-0.027007186593206486,-0.06433046879061047,-0.001400920803708395,0.004869759921598242,0.0011664712691396998,-5.568491970631786e-4,-4.219768132902355e-4,1.848800680952871e-6,SoloPerpendicular,1909038.8626,1909059.742617827
1909059.742617827,-0.027007186593206486,-0.06433046879061047,-0.001400920803708395,0.004869759921598242,5.340229445361818e-4,-9.493142233787731e-4,-1.3079235622482507e-4,1.2034846404471785e-6,SoloPerpendicular,1909059.742617827,1909072.8723
1909072.8723,-0.028447065096725,-0.03622337493777834,-0.001064663397866315,0.0021225019126509337,5.340229445361818e-4,-9.493142233787731e-4,-1.3079235622482507e-4,1.2034846404471785e-6,SoloPerpendicular,1909072.8723,1909093.4072178267
1909093.4072178267,-0.028447065096725,-0.03622337493777834,-0.001064663397866315,0.0021225019126509337,1.1203138215205781e-4,-7.445924854656225e-4,2.624410566335458e-4,6.358443082057057e-7,SoloPerpendicular,1909093.4072178267,1909106.5342
1909106.5342,-0.0302808046769742,-0.00470463328698472,3.386289845028218e-4,9.391753758392127e-4,1.1203138215205781e-4,-7.445924854656225e-4,2.624410566335458e-4,6.358443082057057e-7,SoloPerpendicular,1909106.5342,1909126.4873178266
1909126.4873178266,-0.0302808046769742,-0.00470463328698472,3.386289845028218e-4,9.391753758392127e-4,2.0852284672944068e-5,-0.001012543916195965,4.057177716950609e-4,1.1902869102707488e-6,SoloPerpendicular,1909126.4873178266,1909159.1597178266
1909159.1597178266,-0.0302808046769742,-0.00470463328698472,3.386289845028218e-4,9.391753758392127e-4,-9.860190742327575e-5,-0.0011934111461925356,4.3442374709228265e-4,1.6226764920417894e-6,SoloPerpendicular,1909159.1597178266,1909172.9264
1909172.9264,-0.02743883332123725,-8.112619609326735e-4,4.259839550900292e-4,7.537291823298902e-4,-9.860190742327575e-5,-0.0011934111461925356,4.3442374709228265e-4,1.6226764920417894e-6,SoloPerpendicular,1909172.9264,1909193.5246178266
1909193.5246178266,-0.02743883332123725,-8.112619609326735e-4,4.259839550900292e-4,7.537291823298902e-4,8.9490451332827e-4,-0.0014678450742573806,3.9548613521806376e-4,3.1118325331466834e-6,SoloPerpendicular,1909193.5246178266,1909206.7448
1909206.7448,-0.027719222918471103,0.003975640928964718,7.962887041142869e-5,7.841673807569561e-4,8.9490451332827e-4,-0.0014678450742573806,3.9548613521806376e-4,3.1118325331466834e-6,SoloPerpendicular,1909206.7448,1909226.1090178266
1909226.1090178266,-0.027719222918471103,0.003975640928964718,7.962887041142869e-5,7.841673807569561e-4,0.0023997873889386317,-0.0011155033562841637,3.2761319328229645e-4,7.110657654402753e-6,SoloPerpendicular,1909226.1090178266,1909258.7937178267
1909258.7937178267,-0.027719222918471103,0.003975640928964718,7.962887041142869e-5,7.841673807569561e-4,0.003992491235971486,-8.731019271956747e-6,5.361076394414491e-4,1.6227473901074137e-5,SoloPerpendicular,1909258.7937178267,1909293.3431178266
1909293.3431178266,-0.027719222918471103,0.003975640928964718,7.962887041142869e-5,7.841673807569561e-4,0.005238934585669202,2.1036731466745923e-4,6.952206797063063e-4,2.7974021793492633e-5,SoloPerpendicular,1909293.3431178266,1909325.9701178265
1909325.9701178265,-0.027719222918471103,0.003975640928964718,7.962887041142869e-5,7.841673807569561e-4,0.005392476425634314,0.0011681365497953826,6.532551498332527e-4,3.087008729077335e-5,SoloPerpendicular,1909325.9701178265,1909359.8174178265
1909359.8174178265,-0.027719222918471103,0.003975640928964718,7.962887041142869e-5,7.841673807569561e-4,0.005162973894010084,0.0018071867141376619,2.848371954499852e-4,3.0003355477897142e-5,SoloPerpendicular,1909359.8174178265,1909372.8725
1909372.8725,-0.025598947466373582,0.0010420527166015376,-0.0016901125590142278,6.592484657124687e-4,0.005162973894010084,0.0018071867141376619,2.848371954499852e-4,3.0003355477897142e-5,SoloPerpendicular,1909372.8725,1909393.5017178268
1909393.5017178268,-0.025598947466373582,0.0010420527166015376,-0.0016901125590142278,6.592484657124687e-4,0.004547253871089016,0.002490645846339478,-7.99889243343066e-5,2.6887232728038296e-5,SoloPerpendicular,1909393.5017178268,1909426.0023178267
1909426.0023178267,-0.025598947466373582,0.0010420527166015376,-0.0016901125590142278,6.592484657124687e-4,0.004652708680587018,0.0027544086359151962,-6.82479299232373e-4,2.9700242993894714e-5,SoloPerpendicular,1909426.0023178267,1909439.068
1909439.068,-0.023239844781983054,-0.0012223726964872405,-0.0029230914662819758,5.50129044220033e-4,0.004652708680587018,0.0027544086359151962,-6.82479299232373e-4,2.9700242993894714e-5,SoloPerpendicular,1909439.068,1909459.3372178269
1909459.3372178269,-0.023239844781983054,-0.0012223726964872405,-0.0029230914662819758,5.50129044220033e-4,0.004538426294750591,0.002288804276712912,-8.725061075878036e-4,2.6597205157760913e-5,SoloPerpendicular,1909459.3372178269,1909472.804
1909472.804,-0.014665094735527316,-0.006202803470851384,-0.0026033695205001676,2.6031730736026623e-4,0.004538426294750591,0.002288804276712912,-8.725061075878036e-4,2.6597205157760913e-5,SoloPerpendicular,1909472.804,1909492.9861178268
1909492.9861178268,-0.014665094735527316,-0.006202803470851384,-0.0026033695205001676,2.6031730736026623e-4,0.004816423964467374,0.001323273287912213,-6.471461529366225e-4,2.5367790143258287e-5,SoloPerpendicular,1909492.9861178268,1909526.3162178267
1909526.3162178267,-0.014665094735527316,-0.006202803470851384,-0.0026033695205001676,2.6031730736026623e-4,0.004621805218818546,0.00076796941300950525,-5.0010518947980146e-5,2.1953361552021962e-5,SoloPerpendicular,1909526.3162178267,1909559.5183178266
1909559.5183178266,-0.014665094735527316,-0.006202803470851384,-0.0026033695205001676,2.6031730736026623e-4,0.004444001476736577,6.0225503298222e-4,4.5298705323712496e-4,2.0317057520389743e-5,SoloPerpendicular,1909559.5183178266,1909593.4794178265
1909593.4794178265,-0.014665094735527316,-0.006202803470851384,-0.0026033695205001676,2.6031730736026623e-4,0.0033429622339454803,6.762408982107069e-4,7.185882584412129e-4,1.2149067335168156e-5,SoloPerpendicular,1909593.4794178265,1909626.5295178266
1909626.5295178266,-0.014665094735527316,-0.006202803470851384,-0.0026033695205001676,2.6031730736026623e-4,0.0024864121839142613,0.0010737022174137597,6.978840635666861e-4,7.822124166176861e-6,SoloPerpendicular,1909626.5295178266,1909639.146
1909639.146,-0.0017080741616775257,-0.006539098172393145,-6.175451970200832e-4,4.6058684320348324e-5,0.0024864121839142613,0.0010737022174137597,6.978840635666861e-4,7.822124166176861e-6,SoloPerpendicular,1909639.146,1909659.0451178267
1909659.0451178267,-0.0017080741616775257,-0.006539098172393145,-6.175451970200832e-4,4.6058684320348324e-5,0.0022153324378740313,0.0017941696379405493,7.344327442990365e-4,8.666133955903234e-6,SoloPerpendicular,1909659.0451178267,1909693.3977178265
1909693.3977178265,-0.0017080741616775257,-0.006539098172393145,-6.175451970200832e-4,4.6058684320348324e-5,0.0023175398505390302,0.0028262868823189513,8.371104809686776e-4,1.405964245735226e-5,SoloPerpendicular,1909693.3977178265,1909725.9941178267
1909725.9941178267,-0.0017080741616775257,-0.006539098172393145,-6.175451970200832e-4,4.6058684320348324e-5,0.0032016243306932936,0.0033571937902235386,0.0013711018220382005,2.340106870639924e-5,SoloPerpendicular,1909725.9941178267,1909738.8433
1909738.8433,-0,0,0,0,0.0032016243306932936,0.0033571937902235386,0.0013711018220382005,2.340106870639924e-5,SoloPerpendicular,1909738.8433,1909758.7975178268
1909758.7975178268,-0,0,0,0,0.004338297007162799,0.003663946005009564,0.00212326776947795,3.675358727088711e-5,SoloPerpendicular,1909758.7975178268,1909773.0966
1909773.0966,0.0033696579581556294,-8.77342148220261e-4,-0.00164321631617966,1.4824483861764362e-5,0.004338297007162799,0.003663946005009564,0.00212326776947795,3.675358727088711e-5,SoloPerpendicular,1909773.0966,1909792.9842178267
